,eventID,EarthquakeMagnitude,EarthquakeTime,EarthquakeLatitude,EarthquakeLongitude,EarthquakeDepth,max_epicentral,max_hypocentral,max_rupture
nc51198230,nc51198230,3.1,2008-03-13T17:56:22.590000Z,39.5925,-120.28083,9.56,300.08,300.67,300.05
nc73563910,nc73563910,2.8,2021-05-17T19:49:55.160000Z,39.12733,-120.0345,7.29,305.47,305.91,305.41
nn00242585,nn00242585,2.9,2008-04-26T08:20:28.167000Z,39.5208,-119.9275,2.7,305.31,304.68,305.17
nc72822191,nc72822191,3.1,2017-06-27T12:14:11.220000Z,39.47,-120.33783,-0.88,304.19,303.98,304.44
nn00245339,nn00245339,2.7,2008-05-14T18:52:05.368000Z,39.5081,-119.9115,2.3,306.46,305.72,306.35
nn00867596,nn00867596,3.6,2023-10-19T07:43:04.369000Z,39.621,-119.6343,10.5,305.51,305.35,305.37
nc73428961,nc73428961,2.6,2020-07-21T11:42:54.520000Z,39.43283,-120.29333,6.79,305.99,306.08,305.95
nn00888595,nn00888595,2.8,2024-12-09T23:32:29.604000Z,39.1435,-119.0734,13.5,305.38,305.63,305.55
nn00244218,nn00244218,2.5,2008-05-06T08:41:44.248000Z,39.4858,-119.8879,2.4,305.58,305.46,305.49
nc21227205,nc21227205,2.6,2002-05-25T09:58:18.940000Z,39.14433,-120.05583,8.1,265.74,265.59,265.76
nn00044183,nn00044183,3.1,2002-02-05T05:12:43.462000Z,39.1445,-119.582,7.9,302.51,302.16,302.42
nc73554390,nc73554390,2.8,2021-04-25T15:35:48.970000Z,39.12683,-120.0295,6.56,302.83,303.22,302.76
nn00523704,nn00523704,2.5,2015-12-23T08:29:20.628000Z,39.43,-119.7816,8.5,302.21,301.98,302.23
nn00242719,nn00242719,3.0,2008-04-26T14:47:37.268000Z,39.5092,-119.92,2.2,305.73,304.98,305.56
nn00888707,nn00888707,3.2,2024-12-10T01:52:59.501000Z,39.1504,-119.0498,12.4,304.87,304.96,304.92
nn00283280,nn00283280,3.2,2008-04-26T15:20:40.572000Z,39.546,-119.9456,0.2,305.98,305.53,305.76
nc71761975,nc71761975,2.8,2012-04-09T23:52:03.130000Z,39.33833,-120.02,2.75,300.28,300.25,300.15
nn00279138,nn00279138,2.6,2008-04-26T07:26:52.797000Z,39.5233,-119.8954,0.7,304.6,304.93,304.48
nn00390140,nn00390140,3.8,2012-10-03T19:51:08.433000Z,39.7236,-119.4361,10.9,305.7,305.83,305.5
nn00889414,nn00889414,3.1,2024-12-13T04:45:37.651000Z,39.1735,-119.0211,5.5,305.37,304.75,305.23
nn00867360,nn00867360,2.7,2023-10-15T19:52:11.602000Z,39.6305,-119.6182,8.7,303.86,303.98,303.86
nn00888364,nn00888364,2.8,2024-12-05T19:31:28.920000Z,39.1624,-119.0383,11.8,304.02,303.6,304.12
nn00687042,nn00687042,3.7,2019-06-07T04:49:46.740000Z,39.2579,-119.7235,10.9,305.11,305.56,304.95
nn00415325,nn00415325,2.8,2013-06-16T11:30:06.714000Z,39.1109,-119.7201,9.0,304.12,304.65,304.12
nn00249902,nn00249902,2.5,2008-06-15T07:54:15.480000Z,39.5409,-119.9168,1.0,304.06,303.96,303.96
nn00873356,nn00873356,2.6,2024-02-13T15:26:58.780000Z,39.396,-119.7161,6.7,303.57,303.68,303.53
nn00888938,nn00888938,2.6,2024-12-10T11:55:42.129000Z,39.1698,-119.0541,6.5,304.74,304.89,304.7
nn00137502,nn00137502,3.3,2005-04-28T20:27:15.186000Z,39.0993,-119.0055,5.2,305.44,305.21,305.25
nn00720284,nn00720284,3.3,2020-03-25T06:31:19.627000Z,39.5721,-119.0699,11.1,302.32,302.52,302.29
nc73502910,nc73502910,3.0,2020-12-26T05:54:55.850000Z,39.25133,-120.17533,-2.3,305.05,304.37,305.42
nn00242546,nn00242546,2.5,2008-04-26T07:09:37.343000Z,39.5397,-119.9166,1.2,305.56,305.87,305.46
nn00341413,nn00341413,2.9,2011-06-22T19:59:51.019000Z,39.319,-119.9859,7.2,304.87,305.43,304.8
nn00751474,nn00751474,2.6,2020-06-21T21:01:14.506000Z,39.599,-119.0825,9.1,303.86,304.0,303.89
nc73544965,nc73544965,2.6,2021-04-02T03:24:00.730000Z,39.2355,-120.10017,4.92,305.25,305.6,305.18
nn00380513,nn00380513,2.9,2012-06-26T21:21:58.501000Z,39.3101,-119.9921,7.0,304.08,304.63,304.0
nn00395207,nn00395207,2.5,2012-12-02T08:48:40.328000Z,39.4024,-119.7918,10.3,305.17,305.13,305.25
nn00239224,nn00239224,2.5,2008-03-25T15:41:06.050000Z,39.5316,-119.9368,1.6,305.72,305.13,305.62
nn00845098,nn00845098,2.6,2022-08-16T03:23:05.116000Z,39.5744,-119.0905,14.5,303.8,303.46,304.05
nc73938276,nc73938276,2.5,2023-09-18T08:04:48.250000Z,39.222,-120.09567,1.96,304.93,305.4,304.83
nn00237524,nn00237524,3.2,2008-03-08T10:07:00.399000Z,39.5229,-119.9321,1.5,305.62,304.97,305.41
nn00242381,nn00242381,2.5,2008-04-25T17:26:17.118000Z,39.5286,-119.9325,1.2,304.99,305.08,304.89
nc73524686,nc73524686,2.7,2021-02-18T16:07:14.790000Z,39.74967,-120.339,9.59,304.81,305.06,304.84
nn00030298,nn00030298,2.6,2001-05-29T06:21:08.617000Z,39.3079,-119.9797,9.3,289.41,289.99,289.45
nc71354895,nc71354895,2.9,2010-02-26T05:51:17.290000Z,39.81517,-120.05,7.04,294.89,294.65,294.82
nc72822101,nc72822101,3.0,2017-06-27T09:16:28.920000Z,39.46717,-120.33417,-1.1,302.29,302.12,302.5
nn00870545,nn00870545,2.6,2023-12-23T04:05:20.371000Z,39.6197,-119.6308,7.9,305.24,305.29,305.23
nn00059455,nn00059455,2.7,2002-11-21T01:05:13.268000Z,39.3819,-119.1684,14.4,295.89,296.59,296.13
nn00867368,nn00867368,2.9,2023-10-15T23:53:04.956000Z,39.6193,-119.6407,8.6,305.64,305.81,305.61
nc71607645,nc71607645,2.6,2011-07-26T07:18:51.120000Z,39.214,-120.07233,4.45,304.64,305.14,304.56
nc21081757,nc21081757,3.5,2000-02-06T02:31:17.240000Z,39.32817,-120.03,0.56,297.59,297.78,297.31
nn00889423,nn00889423,3.5,2024-12-13T04:54:01.917000Z,39.1596,-119.0367,4.9,305.26,304.83,305.01
nn00848972,nn00848972,2.8,2022-10-10T22:35:23.589000Z,39.3511,-119.9712,7.2,304.91,304.56,304.85
nn00889047,nn00889047,2.8,2024-12-10T02:50:07.415000Z,39.1702,-119.046,7.9,305.1,305.29,305.06
nn00241158,nn00241158,2.7,2008-04-15T15:20:20.984000Z,39.5349,-119.9375,2.3,305.67,305.4,305.56
